id,title,type,release_year,runtime,genres,seasons,imdb_score,tmdb_score
tm171965,Mike Birbiglia: My Girlfriend's Boyfriend,MOVIE,2015,75,"['comedy', 'documentation', 'romance']",,8.0,7.4
tm198786,Crazy Beautiful You,MOVIE,2015,115,"['romance', 'drama', 'comedy']",,7.0,"6,615"
tm233214,Under the Shadow,MOVIE,2016,84,"['drama', 'horror', 'thriller', 'war', 'fantasy']",,6.8,"6,474"
tm137869,Wild Card,MOVIE,2015,92,"['thriller', 'crime', 'action', 'drama']",,5.6,5.6
tm421855,4K Fireplace,MOVIE,2015,60,"['family', 'documentation', 'romance', 'reality']",,7.7,6.2
tm271839,"Dana Carvey: Straight White Male, 60",MOVIE,2016,64,['comedy'],,6.5,6.3
tm214825,The Ridiculous 6,MOVIE,2015,119,"['western', 'comedy', 'action']",,4.8,5.2
tm66466,Wazir,MOVIE,2016,103,"['thriller', 'action', 'crime', 'drama']",,7.2,6.7
tm234735,Time Out,MOVIE,2015,98,"['drama', 'animation', 'family', 'music']",,6.1,7.2
tm273933,Reggie Watts: Spatial,MOVIE,2016,61,"['comedy', 'music']",,6.0,6.0
tm238722,Collateral Beauty,MOVIE,2016,96,"['drama', 'romance']",,6.7,7.2
ts35362,Locked Up,SHOW,2015,51,"['drama', 'action', 'thriller', 'european']",4.0,8.2,"8,003"
tm228657,Cosmos Laundromat,MOVIE,2015,12,"['animation', 'fantasy']",,,6.5
tm219248,The Fundamentals of Caring,MOVIE,2016,97,"['drama', 'comedy']",,7.3,"7,319"
tm212968,Frank and Cindy,MOVIE,2016,102,"['comedy', 'drama']",,6.1,5.2
ts38769,Chelsea,SHOW,2016,51,['comedy'],2.0,6.3,5.09
tm267419,Joe Rogan: Triggered,MOVIE,2016,63,"['comedy', 'documentation']",,7.4,6.7
tm245594,Dear Zindagi,MOVIE,2016,149,"['romance', 'drama']",,7.4,"7,086"
tm267948,7 a̱os,MOVIE,2016,76,"['drama', 'european']",,6.7,6.3
tm243121,Mascots,MOVIE,2016,95,['comedy'],,5.8,5.4
ts43230,The Deep,SHOW,2015,22,"['action', 'family', 'scifi', 'animation']",4.0,7.9,7.5
tm142881,Jem and the Holograms,MOVIE,2015,118,"['music', 'family', 'fantasy', 'romance', 'scifi', 'drama']",,4.1,5.5
